species;vernacular name;taxonomic group;habitat;first introduction;range;category;list
Carpobrotus spp.;Hottentot fig;Vascular plants;terrestrial;;;A0;alert
Crassula helmsii;New zealand pigmyweed;Vascular plants;freshwater;1982;isolated;A1;black
Lagarosiphon major;Curly waterweed;Vascular plants;freshwater;1993;isolated;A1;black
Ludwigia peploides;Water primrose;Vascular plants;freshwater;1995;isolated;A1;black
Egeria densa;Brazilian waterweed;Vascular plants;freshwater;1999;isolated;A1;black
Baccharis halimifolia;Eastern baccharis;Vascular plants;terrestrial;1924;isolated;A1;black
Myriophyllum heterophyllum;Variable watermilfoil;Vascular plants;freshwater;1993;isolated;A1;black
Cotoneaster horizontalis;Rockspray;Vascular plants;terrestrial;1982;restricted;A2;black
Spiraea alba;Meadowsweet;Vascular plants;terrestrial;1803;restricted;A2;black
Mahonia aquifolium;Oregon grape;Vascular plants;terrestrial;1906;restricted;A2;black
Aster lanceolatus;Narrow-leaved michaelmas daisy;Vascular plants;terrestrial;1835;restricted;A2;black
Ludwigia grandiflora;Water primrose;Vascular plants;freshwater;1983;restricted;A2;black
Spiraea douglasii;Douglas' spirea;Vascular plants;terrestrial;1885;restricted;A2;black
Ailanthus altissima;Tree of heaven;Vascular plants;terrestrial;1952;restricted;A2;black
Cornus sericea;Red-osier dogwood, red willow;Vascular plants;terrestrial;1885;restricted;A2;black
Fallopia x bohemica;Hybrid knotweed;Vascular plants;terrestrial;1924;restricted;A2;black
Rhododendron ponticum;Rhododendron;Vascular plants;terrestrial;1920;restricted;A2;black
Myriophyllum aquaticum;Parrotfeather;Vascular plants;freshwater;1983;restricted;A2;black
Fallopia sachalinensis;Giant knotweed;Vascular plants;terrestrial;1924;restricted;A2;black
Hydrocotyle ranunculoides;Water pennywort;Vascular plants;freshwater;1992;restricted;A2;black
Aster x salignus;Common michaelmas daisy;Vascular plants;terrestrial;1861;restricted;A2;black
Solidago gigantea;Giant goldenrod;Vascular plants;terrestrial;1869;widespread;A3;black
Rosa rugosa;Rugosa rose;Vascular plants;terrestrial;1934;widespread;A3;black
Helianthus tuberosus;Jerusalem artichoke;Vascular plants;terrestrial;1893;widespread;A3;black
Impatiens glandulifera;Indian balsam;Vascular plants;terrestrial;1939;widespread;A3;black
Prunus serotina;Black cherry;Vascular plants;terrestrial;1890;widespread;A3;black
Heracleum mantegazzianum;Giant hogweed;Vascular plants;terrestrial;1938;widespread;A3;black
Fallopia japonica;Japanese knotweed;Vascular plants;terrestrial;1888;widespread;A3;black
Solidago canadensis;Canada goldenrod;Vascular plants;terrestrial;1863;widespread;A3;black
Elodea nuttallii;Nuttall's waterweed;Vascular plants;freshwater;1939;widespread;A3;black
Elodea canadensis;Canadian waterweed;Vascular plants;freshwater;1860;widespread;A3;black
Phytolacca americana;American pokeweed;Vascular plants;terrestrial;;;B0;alert
Akebia quinata;Five-leaf;Vascular plants;terrestrial;;;B0;alert
Cabomba caroliniana;Carolina fanwort;Vascular plants;freshwater;;;B0;alert
Lonicera japonica;Japanese honeysuckle;Vascular plants;terrestrial;;;B0;alert
Echinocystis lobata;Wild cucumber;Vascular plants;terrestrial;;;B0;alert
Spiraea tomentosa;Steeplebush;Vascular plants;terrestrial;1870;isolated;B1;watch
Cyperus eragrostis;Tall flatsedge, Pale galingale;Vascular plants;terrestrial;1896;isolated;B1;watch
Lysichiton americanus;American skunk cabbage;Vascular plants;terrestrial;2006;isolated;B1;watch
Rhus typhina;Staghorn sumac;Vascular plants;terrestrial;1898;isolated;B1;watch
Fraxinus pennsylvanica;Red ash, Green ash;Vascular plants;terrestrial;2008;isolated;B1;watch
Prunus laurocerasus;Cherry laurel;Vascular plants;terrestrial;1994;isolated;B1;watch
Elaeagnus angustifolia;Russian olive;Vascular plants;terrestrial;1939;isolated;B1;watch
Rudbeckia laciniata;Cutleaf coneflower;Vascular plants;terrestrial;1849;isolated;B1;watch
Acer rufinerve;Red veined maple;Vascular plants;terrestrial;1990;isolated;B1;watch
Acer negundo;Box-elder, Ash-leaved maple;Vascular plants;terrestrial;1955;restricted;B2;watch
Lupinus polyphyllus;Garden lupin;Vascular plants;terrestrial;1882;restricted;B2;watch
Azolla filiculoides;Water fern;Vascular plants;freshwater;1912;restricted;B2;watch
Amelanchier lamarckii;Juneberry;Vascular plants;terrestrial;1876;restricted;B2;watch
Duchesnea indica;Indian strawberry;Vascular plants;terrestrial;1950;restricted;B2;watch
Mimulus guttatus;Monkeyflower;Vascular plants;terrestrial, freshwater;1953;restricted;B2;watch
Koenigia polystachya;Himalayan knotweed;Vascular plants;terrestrial;1898;restricted;B2;watch
Spiraea x billardii;Billard's bridewort;Vascular plants;terrestrial;1895;restricted;B2;watch
Hyacinthoides hispanica;Spanish bluebell;Vascular plants;terrestrial;1882;restricted;B2;watch
Senecio inaequidens;South african ragwort;Vascular plants;terrestrial;1892;widespread;B3;watch
Robinia pseudoacacia;Black locust;Vascular plants;terrestrial;1856;widespread;B3;watch
Bidens frondosa;Large-leaved beggarticks;Vascular plants;terrestrial;1886;widespread;B3;watch
Impatiens parviflora;Small yellow balsam;Vascular plants;terrestrial;1868;widespread;B3;watch
Buddleja davidii;Butterfly bush;Vascular plants;terrestrial;1942;widespread;B3;watch
Parthenocissus spp.;(false) virginia creeper;Vascular plants;terrestrial;1880;widespread;B3;watch
Aster novi-belgii;Confused michaelmas daisy;Vascular plants;terrestrial;1865;widespread;B3;watch
Lemna minuta;Minute duckweed;Vascular plants;freshwater;1983;widespread;B3;watch
Quercus rubra;Red oak;Vascular plants;terrestrial;1950;widespread;B3;watch
