scientific_name;gbif_key;is_plant;is_animal;is_crayfish;is_project_species;is_alert_species;is_aquatic_plant;is_riparian_plant;vernacular_name_en;vernacular_name_nl;vernacular_name_fr;;;;;;;;;;;;;;;
Hydrocotyle ranunculoides;7978544;T;F;F;T;F;T;F;Floating pennywort;Grote waternavel;Hydrocotyle fausse renoncule;;;;;;;;;;;;;;;
Ludwigia grandiflora;5421039;T;F;F;T;F;T;F;Water-primrose;Waterteunisbloem;Jussie Ö grandes fleurs;;;;;;;;;;;;;;;
Ludwigia peploides;5420991;T;F;F;T;F;T;F;Floating primrose-willow;Kleine waterteunisbloem;Jussie rampante;;;;;;;;;;;;;;;
Myriophyllum aquaticum;5361785;T;F;F;T;F;T;F;Parrot's feather;Parelvederkruid;Myriophylle du BrÇsil;;;;;;;;;;;;;;;
Myriophyllum heterophyllum;5361762;T;F;F;T;F;T;F;Broadleaf watermilfoil;Ongelijkbladig vederkruid;Myriophylle hÇtÇrophylle;;;;;;;;;;;;;;;
Lagarosiphon major;2865565;T;F;F;T;F;T;F;Curly waterweed;Verspreidbladige waterpest;ElodÇe Ö feuilles alternes;;;;;;;;;;;;;;;
Cabomba caroliniana;2882443;T;F;F;T;F;T;F;Fanwort;Waterwaaier;Cabomba de Caroline;;;;;;;;;;;;;;;
Heracleum mantegazzianum;3034825;T;F;F;T;F;F;T;Giant hogweed;Reuzenbereklauw;Berce du Caucase;;;;;;;;;;;;;;;
Heracleum persicum;8000520;T;F;F;T;F;F;T;Persian hogweed;Perzische berenklauw;Berce de Perse;;;;;;;;;;;;;;;
Heracleum sosnowskyi;3642949;T;F;F;T;F;F;T;Sosnowsky's hogweed;Sosnowsky's berenklauw;Berce de Sosnowski;;;;;;;;;;;;;;;
Impatiens glandulifera;2891770;T;F;F;T;F;F;T;Himalayan balsam;Reuzenbalsemien;Balsamine de l?Himalaya;;;;;;;;;;;;;;;
Lysichiton americanus;2869311;T;F;F;T;F;F;T;American skunk cabbage;Moerasaronskelk;Faux arum;;;;;;;;;;;;;;;
Procambarus clarkii;2227300;F;T;T;T;F;F;F;Red swamp crayfish;Rode rivierkreeft;Ecrevisse de Louisiane;;;;;;;;;;;;;;;
Procambarus virginalis;9442269;F;T;T;T;F;F;F;Marbled crayfish;Marmerkreeft;Ecrevisse marbrÇe;;;;;;;;;;;;;;;
Procambarus acutus;2227289;F;T;T;T;F;F;F;White river crayfish;Gestreepte Amerikaanse rivierkreeft;Ecrevisse de riviäre blanche;;;;;;;;;;;;;;;
Faxonius virilis;8971201;F;T;T;T;F;F;F;Northern Crayfish;Geknobbelde Amerikaanse rivierkreeft;êcrevisse Ö pinces bleues;;;;;;;;;;;;;;;
Egeria densa;5329260;T;F;F;F;T;T;F;Greater Pondweed;Egeria;êlodÇe dense;;;;;;;;;;;;;;;
Aponogeton distachyos;5328593;T;F;F;F;T;T;F;Cape-pondweed / Water Hawthorn;Kaapse waterlelie;AponogÇton odorant;;;;;;;;;;;;;;;
Pontederia cordata;2766030;T;F;F;F;T;T;F;Pickerelweed;Moerashyacint;PontÇdÇrie Ö feuilles cordÇes;;;;;;;;;;;;;;;
Crassula helmsii;5362054;T;F;F;F;T;T;T;New Zealand Pigmyweed;Watercrassula;Crassule des Çtangs;;;;;;;;;;;;;;;
Petasites japonicus;3088310;T;F;F;F;T;F;T;Giant Butterbur;Japans hoefblad;PÇtasitäs japonais;;;;;;;;;;;;;;;
Zizania latifolia;2703231;T;F;F;F;T;F;T;Manchurian wildrice;;;;;;;;;;;;;;;;;
Cotula coronopifolia;3112110;T;F;F;F;T;F;T;Buttonweed / Common brassbutton;Goudknopje;Cotule pied-de-corbeau;;;;;;;;;;;;;;;
Houttuynia cordata;5384931;T;F;F;F;T;F;T;Chinese lizard tail;Moerasanemoon;Hottonie, Houttuynie;;;;;;;;;;;;;;;
Saururus cernuus;5384932;T;F;F;F;T;F;T;Lizard's tail;Leidse plant;LÇzardelle penchÇe Riparian plant;;;;;;;;;;;;;;;
Procambarus acutus;2227289;F;T;T;F;T;F;F;White River Crayfish;Gestreepte Amerikaanse rivierkreeft;;;;;;;;;;;;;;;;
Faxonius rusticus;8979506;F;T;T;F;T;F;F;;;;;;;;;;;;;;;;;;
Faxonius immunis;8930656;F;T;T;F;T;F;F;;;;;;;;;;;;;;;;;;
Faxonius juvenilis;8721209;F;T;T;F;T;F;F;;;;;;;;;;;;;;;;;;
Cherax destructor;4417558;F;T;T;F;T;;F;Australian Yabbi;Australische Yabbi;Yabbi d'Australie;;;;;;;;;;;;;;;
